Backtoschool,negative
Shopper,neutral
load,neutral
year,neutral
perenni,neutral
backtoschool,neutral
favourit,neutral
such,neutral
jean,neutral
shirt,neutral
sneaker,neutral
with,neutral
parent,neutral
spend,neutral
averag,neutral
sort,neutral
funni,neutral
becaus,neutral
realli,neutral
hasnt,neutral
chang,neutral
from,neutral
year,neutral
with,neutral
jean,neutral
shirt,neutral
pant,neutral
thing,neutral
like,neutral
that,neutral
basic,neutral
what,neutral
peopl,neutral
look,neutral
said,neutral
Andrea,neutral
Kent,neutral
director,neutral
spend,neutral
increas,neutral
caus,neutral
emphasi,neutral
brandnam,neutral
good,neutral
that,neutral
typic,neutral
cost,neutral
more,neutral
lower,neutral
retail,neutral
inventori,neutral
which,neutral
reduc,neutral
amount,neutral
discount,neutral
sale,neutral
Overal,negative-uncertain
backtoschool,negative-uncertain
spend,negative-uncertain
will,negative-uncertain
rise,negative-uncertain
project,negative-uncertain
percent,negative-uncertain
averag,negative-uncertain
child,negative-uncertain
American,negative-uncertain
Express,negative-uncertain
said,negative-uncertain
