Ngrams,Negation,Contrast,Positive entities,Negative entities,Class
ended almost,false,0,0,1,neutral
should be,false,0,0,0,neutral
rally stalls,false,0,0,0,neutral
stalls after,false,0,0,0,neutral
after hitting,false,0,0,0,neutral
hitting month,false,0,0,0,neutral
paves the,false,0,0,0,neutral
the way,false,0,0,0,neutral
way for,false,0,0,0,neutral
for the,false,0,0,0,neutral
set to,false,0,0,0,neutral
joins other,false,0,0,1,neutral
other pop,false,0,0,1,neutral
pop culture,false,0,0,1,neutral
ended little,false,0,0,1,neutral
offer internet,false,0,0,0,neutral
keep interest,false,0,1,1,neutral
interest rates,false,0,1,1,neutral
ought to,false,0,0,0,neutral
to at,false,0,0,0,neutral
at least,false,0,0,0,neutral
holding u,false,0,1,0,neutral
u s,false,0,1,0,neutral
interest rates,false,0,1,0,neutral
keep rates,false,0,0,2,neutral
plans to,false,0,0,0,neutral
ended up,false,0,0,1,neutral
up in,false,0,0,1,neutral
in slow,false,0,0,1,neutral
gave its,false,0,0,1,neutral
its tentative,false,0,0,1,neutral
a holding,false,0,0,0,neutral
keep a,false,0,0,1,neutral
achieve break,false,0,0,1,neutral
break even,false,0,0,1,neutral
approved a,false,0,0,0,neutral
closed mixed,false,0,0,0,mixed
mixed against,false,0,0,0,mixed
against major,false,0,0,0,mixed
the breadth,false,0,0,0,positive
breadth of,false,0,0,0,positive
of the,false,0,0,0,positive
little slowing,false,0,0,1,positive
staged a,false,0,0,0,positive
a broad,false,0,0,0,positive
broad based,false,0,0,0,positive
headed into,true,0,0,0,positive
into the,true,0,0,0,positive
the second,true,0,0,0,positive
second half,true,0,0,0,positive
half of,true,0,0,0,positive
of the,true,0,0,0,positive
the year,true,0,0,0,positive
year on,true,0,0,0,positive
on a,true,0,0,0,positive
a much,true,0,0,0,positive
much stronger,true,0,0,0,positive
stronger note,true,0,0,0,positive
third record,false,0,0,0,positive
after overcoming,false,0,0,1,positive
overcoming jitters,false,0,0,1,positive
jitters from,false,0,0,1,positive
from unexpectedly,false,0,0,1,positive
unexpectedly strong,false,0,0,1,positive
strong u,false,0,0,1,positive
u s,false,0,0,1,positive
powered to,false,0,0,0,positive
to a,false,0,0,0,positive
a new,false,0,0,0,positive
orders up,false,0,0,0,positive
posted broad,false,0,0,0,positive
broad based,false,0,0,0,positive
led by,false,0,0,0,positive
by a,false,0,0,0,positive
a jump,false,0,0,0,positive
jump in,false,0,0,0,positive
much more,false,0,0,1,positive
more robust,false,0,0,1,positive
second big,false,0,0,0,positive
rebound from,false,0,0,1,positive
from the,false,0,0,1,positive
the year,false,0,0,1,positive
year s,false,0,0,1,positive
s low,false,0,0,1,positive
low to,false,0,0,1,positive
to its,false,0,0,1,positive
gains on,false,0,0,0,positive
on talk,false,0,0,0,positive
talk of,false,0,0,0,positive
of internet,false,0,0,0,positive
internet via,false,0,0,0,positive
via tv,false,0,0,0,positive
beating the,false,0,0,1,positive
the previous,false,0,0,1,positive
opens up,false,0,0,0,positive
up at,false,0,0,0,positive
at new,false,0,0,0,positive
new trading,false,0,0,0,positive
trading peak,false,0,0,0,positive
advanced to,false,0,0,0,positive
to a,false,0,0,0,positive
a new,false,0,0,0,positive
press ahead,false,0,0,0,positive
ahead with,false,0,0,0,positive
run to,false,0,0,1,positive
to the,false,0,0,1,positive
the safety,false,0,0,1,positive
safety of,false,0,0,1,positive
of companies,false,0,0,1,positive
companies with,false,0,0,1,positive
with proven,false,0,0,1,positive
came within,false,0,0,0,positive
within a,false,0,0,0,positive
a skip,false,0,0,0,positive
skip and,false,0,0,0,positive
and a,false,0,0,0,positive
a jump,false,0,0,0,positive
jump of,false,0,0,0,positive
of its,false,0,0,0,positive
its all,false,0,0,0,positive
slipped on,false,0,0,0,positive
on profit,false,0,0,0,positive
propped up,false,0,0,0,positive
up by,false,0,0,0,positive
by rising,false,0,0,0,positive
rising demand,false,0,0,0,positive
demand for,false,0,0,0,positive
setting record,false,0,0,0,positive
a rise,false,0,0,0,positive
rise of,false,0,0,0,positive
stronger than,false,0,0,0,positive
than expected,false,0,0,0,positive
expected u,false,0,0,0,positive
u s,false,0,0,0,positive
shows the,false,0,0,0,positive
the level,false,0,0,0,positive
level of,false,0,0,0,positive
close to,false,0,0,0,positive
to its,false,0,0,0,positive
its highest,false,0,0,0,positive
setting record,false,0,0,0,positive
all reaching,false,0,0,0,positive
reaching new,false,0,0,0,positive
ruled in,false,0,0,0,positive
improve the,false,0,1,0,positive
perfect lightening,false,0,1,0,positive
reach hamlet,false,0,0,1,positive
hamlet cup,false,0,0,1,positive
clocked a,false,0,1,0,positive
a best,false,0,1,0,positive
best time,false,0,1,0,positive
time of,false,0,1,0,positive
of one,false,0,1,0,positive
one minute,false,0,1,0,positive
advanced to,false,0,0,0,positive
to the,false,0,0,0,positive
good match,false,0,2,0,positive
match for,false,0,2,0,positive
for me,false,0,2,0,positive
me and,false,0,2,0,positive
and a,false,0,2,0,positive
a good,false,0,2,0,positive
scoring the,false,0,0,0,positive
the biggest,false,0,0,0,positive
giving them,false,0,0,0,positive
them a,false,0,0,0,positive
could go,false,0,0,0,positive
thrust essex,false,0,0,1,positive
essex on,false,0,0,1,positive
on course,false,0,0,1,positive
course for,false,0,0,1,positive
went past,false,0,1,1,positive
past his,false,0,1,1,positive
his previous,false,0,1,1,positive
previous test,false,0,1,1,positive
keeps pakistan,false,0,0,0,positive
pakistan on,false,0,0,0,positive
looks well,false,0,1,0,positive
win gave,false,0,0,1,positive
gave the,false,0,0,1,positive
the all,false,0,0,1,positive
all blacks,false,0,0,1,positive
blacks an,false,0,0,1,positive
knocking three,true,0,0,0,positive
three days,true,0,0,0,positive
greatest accomplishment,false,0,1,0,positive
accomplishment in,false,0,1,0,positive
great personal,false,0,1,0,positive
opens at,false,0,0,0,positive
at top,false,0,0,0,positive
top of,false,0,0,0,positive
of box,false,0,0,0,positive
overcame some,false,0,0,1,positive
some of,false,0,0,1,positive
of the,false,0,0,1,positive
the worst,false,0,0,1,positive
worst reviews,false,0,0,1,positive
reviews of,false,0,0,1,positive
of the,false,0,0,1,positive
open at,false,0,0,1,positive
at the,false,0,0,1,positive
the top,false,0,0,1,positive
top of,false,0,0,1,positive
of the,false,0,0,1,positive
the u,false,0,0,1,positive
u s,false,0,0,1,positive
opportunity to,false,0,0,1,positive
to respond,false,0,0,1,positive
hopeful that,false,0,1,0,positive
that there,false,0,1,0,positive
there would,false,0,1,0,positive
would be,false,0,1,0,positive
be a,false,0,1,0,positive
a speedy,false,0,1,0,positive
speedy resolution,false,0,1,0,positive
resolution to,false,0,1,0,positive
to any,false,0,1,0,positive
will come,false,0,0,0,positive
come as,false,0,0,0,positive
as a,false,0,0,0,positive
percent in,false,0,0,0,positive
forecast stability,false,0,0,0,positive
stability or,false,0,0,0,positive
closed slightly,false,0,0,0,positive
right to,false,0,0,0,positive
to this,false,0,0,0,positive
slightly better,false,0,1,0,positive
better than,false,0,1,0,positive
than an,false,0,1,0,positive
an estimate,false,0,1,0,positive
estimate in,false,0,1,0,positive
there will,false,0,1,0,positive
will be,false,0,1,0,positive
be concrete,false,0,1,0,positive
clawing back,false,0,0,0,positive
back most,false,0,0,0,positive
most of,false,0,0,0,positive
of the,false,0,0,0,positive
the day,false,0,0,0,positive
day s,false,0,0,0,positive
followed a,false,0,0,1,positive
a string,false,0,0,1,positive
string of,false,0,0,1,positive
of records,false,0,0,1,positive
records last,false,0,0,1,positive
culminating in,false,0,0,0,positive
in friday,false,0,0,0,positive
friday s,false,0,0,0,positive
s trading,false,0,0,0,positive
trading high,false,0,0,0,positive
showing the,false,0,1,0,positive
the necessary,false,0,1,0,positive
necessary political,false,0,1,0,positive
political will,false,0,1,0,positive
will to,false,0,1,0,positive
having already,false,0,0,0,positive
already made,false,0,0,0,positive
made considerable,false,0,0,0,positive
considerable progress,false,0,0,0,positive
progress on,false,0,0,0,positive
on paring,false,0,0,0,positive
clear determination,false,0,1,0,positive
determination on,false,0,1,0,positive
on behalf,false,0,1,0,positive
behalf of,false,0,1,0,positive
of governments,false,0,1,0,positive
governments to,false,0,1,0,positive
very strong,false,0,0,0,positive
better than,false,0,1,1,positive
than the,false,0,1,1,positive
the same,false,0,1,1,positive
same period,false,0,1,1,positive
period a,false,0,1,1,positive
a year,false,0,1,1,positive
year ago,false,0,1,1,positive
ago both,false,0,1,1,positive
both in,false,0,1,1,positive
in japan,false,0,1,1,positive
a gradual,false,0,0,1,positive
gradual recovery,false,0,0,1,positive
more than,false,0,0,1,positive
percent of,false,0,0,1,positive
of its,false,0,0,1,positive
its worldwide,false,0,0,1,positive
worldwide membership,false,0,0,1,positive
membership had,false,0,0,1,positive
had accepted,false,0,0,1,positive
up from,false,0,0,0,positive
from the,false,0,0,0,positive
percent acceptance,false,0,0,0,positive
well placed,false,0,1,0,positive
placed to,false,0,1,0,positive
to win,false,0,1,0,positive
win high,false,0,1,0,positive
need to,false,0,0,0,positive
pushed prices,false,0,0,0,positive
hit a,false,0,0,1,positive
a string,false,0,0,1,positive
string of,false,0,0,1,positive
wowed canada,false,0,0,0,positive
canada with,false,0,0,0,positive
with his,false,0,0,0,positive
his record,false,0,0,0,positive
record smashing,false,0,0,0,positive
setting a,false,0,0,0,positive
a new,false,0,0,0,positive
confirmed them,false,0,1,0,positive
them as,false,0,1,0,positive
as rightful,false,0,1,0,positive
great strategic,false,0,1,0,positive
gave a,false,0,0,0,positive
move underscores,true,0,0,1,positive
underscores apple,true,0,0,1,positive
apple s,true,0,0,1,positive
s commitment,true,0,0,1,positive
commitment to,true,0,0,1,positive
to developing,true,0,0,1,positive
developing internet,true,0,0,1,positive
internet technologies,true,0,0,1,positive
technologies and,true,0,0,1,positive
and extends,true,0,0,1,positive
extends the,true,0,0,1,positive
the relationship,true,0,0,1,positive
relationship between,true,0,0,1,positive
between the,true,0,0,1,positive
the two,true,0,0,1,positive
two companies,true,0,0,1,positive
companies at,true,0,0,1,positive
at a,true,0,0,1,positive
a time,true,0,0,1,positive
time when,true,0,0,1,positive
when they,true,0,0,1,positive
they are,true,0,0,1,positive
are both,true,0,0,1,positive
both facing,true,0,0,1,positive
provide a,false,0,0,1,positive
a hassle,false,0,0,1,positive
hassle free,false,0,0,1,positive
free experience,false,0,0,1,positive
experience and,false,0,0,1,positive
and comprehensive,false,0,0,1,positive
comprehensive customer,false,0,0,1,positive
highest futures,false,0,0,0,positive
four month,false,0,0,0,positive
post solid,false,0,1,0,positive
solid q,false,0,1,0,positive
justifying recent,false,0,0,0,positive
recent gains,false,0,0,0,positive
gains in,false,0,0,0,positive
in their,false,0,0,0,positive
their stock,false,0,0,0,positive
reported a,false,0,0,0,positive
will be,true,0,0,1,positive
be enough,true,0,0,1,positive
enough to,true,0,0,1,positive
to declare,true,0,0,1,positive
declare the,true,0,0,1,positive
the plan,true,0,0,1,positive
support grows,false,0,0,0,positive
grows for,false,0,0,0,positive
for lloyd,false,0,0,0,positive
lloyd s,false,0,0,0,positive
lift german,false,0,0,0,positive
german stocks,false,0,0,0,positive
stocks to,false,0,0,0,positive
to higher,false,0,0,0,positive
ended the,false,0,0,0,positive
the day,false,0,0,0,positive
day on,false,0,0,0,positive
on tuesday,false,0,0,0,positive
volumes higher,false,0,0,0,positive
higher than,false,0,0,0,positive
than monday,false,0,0,0,positive
monday s,false,0,0,0,positive
s year,false,0,0,0,positive
chemical shares,true,0,0,0,positive
shares drove,true,0,0,0,positive
drove afternoon,true,0,0,0,positive
afternoon ibis,true,0,0,0,positive
reported an,false,0,0,0,positive
an eight,false,0,0,0,positive
eight percent,false,0,0,0,positive
rose a,false,0,1,0,positive
a healthy,false,0,1,0,positive
forecast higher,false,0,0,0,positive
