Ngrams,Negation,Contrast,Positive entities,Negative entities,Class
sayansk aluminium,false,0,0,0,neutral
aluminium chief,false,0,0,0,neutral
chief executive,false,0,0,0,neutral
executive oleg,false,0,0,0,neutral
oleg deripaska,false,0,0,0,neutral
deripaska said,false,0,0,0,neutral
said on,false,0,0,0,neutral
on friday,false,0,0,0,neutral
primary aluminium,false,0,0,0,neutral
aluminium output,false,0,0,0,neutral
output would,false,0,0,0,neutral
would be,false,0,0,0,neutral
another senior,true,0,1,1,neutral
senior official,true,0,1,1,neutral
official said,true,0,1,1,neutral
said the,true,0,1,1,neutral
the plant,true,0,1,1,neutral
plant was,true,0,1,1,neutral
was working,true,0,1,1,neutral
working at,true,0,1,1,neutral
percent capacity,true,0,1,1,neutral
capacity and,true,0,1,1,neutral
and would,true,0,1,1,neutral
would continue,true,0,1,1,neutral
continue to,true,0,1,1,neutral
the company,true,1,0,2,neutral
company plans,true,1,0,2,neutral
plans to,true,1,0,2,neutral
to increase,true,1,0,2,neutral
increase aluminium,true,1,0,2,neutral
aluminium output,true,1,0,2,neutral
output in,true,1,0,2,neutral
in the,true,1,0,2,neutral
the near,true,1,0,2,neutral
near future,true,1,0,2,neutral
future to,true,1,0,2,neutral
tonnes a,true,1,0,2,neutral
a year,true,1,0,2,neutral
a company,true,1,0,2,neutral
company statement,true,1,0,2,neutral
statement said,true,1,0,2,neutral
said but,true,1,0,2,neutral
but did,true,1,0,2,neutral
did not,true,1,0,2,neutral
not give,true,1,0,2,neutral
deripaska said,false,0,0,3,neutral
said the,false,0,0,3,neutral
the entire,false,0,0,3,neutral
entire programme,false,0,0,3,neutral
programme would,false,0,0,3,neutral
would cost,false,0,0,3,neutral
million for,false,0,0,3,neutral
for smelters,false,0,0,3,neutral
smelters and,false,0,0,3,neutral
million for,false,0,0,3,neutral
for additional,false,0,0,3,neutral
additional plant,false,0,0,3,neutral
plant upgrades,false,0,0,3,neutral
which company,false,0,0,3,neutral
company officials,false,0,0,3,neutral
officials say,false,0,0,3,neutral
say they,false,0,0,3,neutral
they expect,false,0,0,3,neutral
expect to,false,0,0,3,neutral
to finance,false,0,0,3,neutral
finance with,false,0,0,3,neutral
with a,false,0,0,3,neutral
a combination,false,0,0,3,neutral
combination of,false,0,0,3,neutral
of private,false,0,0,3,neutral
private investor,false,0,0,3,neutral
commercial bank,false,0,0,3,neutral
bank and,false,0,0,3,neutral
sayansk aluminium,false,0,0,0,neutral
aluminium sees,false,0,0,0,neutral
india police,false,0,0,0,neutral
police raid,false,0,0,0,neutral
raid tycoon,false,0,0,0,neutral
tycoon s,false,0,0,0,neutral
s home,false,0,0,0,neutral
home in,false,0,0,0,neutral
in phone,false,0,0,0,neutral
indian police,false,0,0,0,neutral
police said,false,0,0,0,neutral
said on,false,0,0,0,neutral
on friday,false,0,0,0,neutral
friday they,false,0,0,0,neutral
they raided,false,0,0,0,neutral
raided the,false,0,0,0,neutral
the home,false,0,0,0,neutral
home of,false,0,0,0,neutral
of a,false,0,0,0,neutral
a company,false,0,0,0,neutral
company executive,false,0,0,0,neutral
executive whose,false,0,0,0,neutral
whose firm,false,0,0,0,neutral
firm has,false,0,0,0,neutral
has been,false,0,0,0,neutral
been linked,false,0,0,0,neutral
linked to,false,0,0,0,neutral
to a,false,0,0,0,neutral
a growing,false,0,0,0,neutral
growing scandal,false,0,0,0,neutral
scandal involving,false,0,0,0,neutral
involving the,false,0,0,0,neutral
the privatisation,false,0,0,0,neutral
privatisation of,false,0,0,0,neutral
of the,false,0,0,0,neutral
the nation,false,0,0,0,neutral
the raid,false,0,0,1,neutral
raid followed,false,0,0,1,neutral
followed a,false,0,0,1,neutral
a search,false,0,0,1,neutral
search of,false,0,0,1,neutral
of two,false,0,0,1,neutral
two homes,false,0,0,1,neutral
homes belonging,false,0,0,1,neutral
belonging to,false,0,0,1,neutral
to former,false,0,0,1,neutral
former communications,false,0,0,1,neutral
communications minister,false,0,0,1,neutral
minister sukh,false,0,0,1,neutral
sukh ram,false,0,0,1,neutral
ram during,false,0,0,1,neutral
during which,false,0,0,1,neutral
which police,false,0,0,1,neutral
police seized,false,0,0,1,neutral
seized more,false,0,0,1,neutral
more than,false,0,0,1,neutral
million in,false,0,0,1,neutral
in cash,false,0,0,1,neutral
cash and,false,0,0,1,neutral
and the,false,0,0,1,neutral
the arrest,false,0,0,1,neutral
the central,true,0,2,1,neutral
central bureau,true,0,2,1,neutral
bureau of,true,0,2,1,neutral
of investigation,true,0,2,1,neutral
investigation cbi,true,0,2,1,neutral
said it,true,0,2,1,neutral
it raided,true,0,2,1,neutral
raided on,true,0,2,1,neutral
on thursday,true,0,2,1,neutral
thursday the,true,0,2,1,neutral
the home,true,0,2,1,neutral
home of,true,0,2,1,neutral
of mahendra,true,0,2,1,neutral
mahendra nahata,true,0,2,1,neutral
chairman of,true,0,2,1,neutral
of himachal,true,0,2,1,neutral
himachal futuristic,true,0,2,1,neutral
futuristic communications,true,0,2,1,neutral
communications ltd,true,0,2,1,neutral
ltd hfcl,true,0,2,1,neutral
a little,true,0,2,1,neutral
little known,true,0,2,1,neutral
known firm,true,0,2,1,neutral
firm that,true,0,2,1,neutral
that won,true,0,2,1,neutral
won lucrative,true,0,2,1,neutral
searches were,false,0,0,0,neutral
were conducted,false,0,0,0,neutral
conducted at,false,0,0,0,neutral
at his,false,0,0,0,neutral
his home,false,0,0,0,neutral
cbi spokesman,false,0,0,0,neutral
spokesman s,false,0,0,0,neutral
s m,false,0,0,0,neutral
some documents,false,0,0,0,neutral
documents were,false,0,0,0,neutral
were seized,false,0,0,0,neutral
seized and,false,0,0,0,neutral
and are,false,0,0,0,neutral
are being,false,0,0,0,neutral
u s,false,0,0,0,neutral
goods data,false,0,0,0,neutral
data weighs,false,0,0,0,neutral
weighs on,false,0,0,0,neutral
on european,false,0,0,0,neutral
imperial tobacco,false,1,1,1,neutral
tobacco group,false,1,1,1,neutral
group will,false,1,1,1,neutral
will split,false,1,1,1,neutral
split from,false,1,1,1,neutral
from conglomerate,false,1,1,1,neutral
conglomerate hanson,false,1,1,1,neutral
hanson plc,false,1,1,1,neutral
plc on,false,1,1,1,neutral
on oct,false,1,1,1,neutral
as one,false,1,1,1,neutral
one of,false,1,1,1,neutral
of the,false,1,1,1,neutral
the most,false,1,1,1,neutral
most efficient,false,1,1,1,neutral
efficient players,false,1,1,1,neutral
players in,false,1,1,1,neutral
in its,false,1,1,1,neutral
its sector,false,1,1,1,neutral
but while,false,1,1,1,neutral
while its,false,1,1,1,neutral
its new,false,1,1,1,neutral
new chief,false,1,1,1,neutral
chief talks,false,1,1,1,neutral
talks of,false,1,1,1,neutral
of export,false,1,1,1,neutral
export led,false,1,1,1,neutral
led growth,false,1,1,1,neutral
the outlook,false,1,1,1,neutral
outlook is,false,1,1,1,neutral
is clouded,false,1,1,1,neutral
clouded by,false,1,1,1,neutral
by the,false,1,1,1,neutral
the threat,false,1,1,1,neutral
tobacco litigation,false,0,0,1,neutral
litigation fears,false,0,0,1,neutral
fears cloud,false,0,0,1,neutral
cloud imperial,false,0,0,1,neutral
but as,false,1,1,1,neutral
as the,false,1,1,1,neutral
the next,false,1,1,1,neutral
next big,false,1,1,1,neutral
big target,false,1,1,1,neutral
for the,false,1,1,1,neutral
the ftse,false,1,1,1,neutral
index of,false,1,1,1,neutral
of britain,false,1,1,1,neutral
britain s,false,1,1,1,neutral
s leading,false,1,1,1,neutral
leading companies,false,1,1,1,neutral
companies comes,false,1,1,1,neutral
comes into,false,1,1,1,neutral
into view,false,1,1,1,neutral
market strategists,false,1,1,1,neutral
strategists were,false,1,1,1,neutral
were questioning,false,1,1,1,neutral
questioning whether,false,1,1,1,neutral
the latest,false,0,0,0,neutral
latest push,false,0,0,0,neutral
push to,false,0,0,0,neutral
to shares,false,0,0,0,neutral
shares came,false,0,0,0,neutral
came on,false,0,0,0,neutral
on thursday,false,0,0,0,neutral
thursday from,false,0,0,0,neutral
from interest,false,0,0,0,neutral
interest rate,false,0,0,0,neutral
rate cuts,false,0,0,0,neutral
cuts across,false,0,0,0,neutral
across europe,false,0,0,0,neutral
europe in,false,0,0,0,neutral
in the,false,0,0,0,neutral
the wake,false,0,0,0,neutral
wake of,false,0,0,0,neutral
of an,false,0,0,0,neutral
an easing,false,0,0,0,neutral
easing in,false,0,0,0,neutral
in monetary,false,0,0,0,neutral
monetary policy,false,0,0,0,neutral
policy by,false,0,0,0,neutral
gmt the,false,0,0,0,neutral
the dollar,false,0,0,0,neutral
dollar was,false,0,0,0,neutral
was at,false,0,0,0,neutral
half a,false,0,0,0,neutral
a pfennig,false,0,0,0,neutral
pfennig off,false,0,0,0,neutral
off thursday,false,0,0,0,neutral
thursday s,false,0,0,0,neutral
s european,false,0,0,0,neutral
on the,false,0,1,1,neutral
the yen,false,0,1,1,neutral
yen it,false,0,1,1,neutral
it was,false,0,1,1,neutral
was little,false,0,1,1,neutral
little changed,false,0,1,1,neutral
changed at,false,0,1,1,neutral
against thursday,false,0,1,1,neutral
thursday s,false,0,1,1,neutral
with the,false,0,1,1,neutral
the focus,false,0,1,1,neutral
focus firmly,false,0,1,1,neutral
firmly on,false,0,1,1,neutral
plans to,false,0,0,1,neutral
to offer,false,0,0,1,neutral
offer fast,false,0,0,1,neutral
fast access,false,0,0,1,neutral
access to,false,0,0,1,neutral
to the,false,0,0,1,neutral
the internet,false,0,0,1,neutral
internet via,false,0,0,1,neutral
via conventional,false,0,0,1,neutral
conventional tv,false,0,0,1,neutral
tv sets,false,0,0,1,neutral
sets fitted,false,0,0,1,neutral
fitted with,false,0,0,1,neutral
with a,false,0,0,1,neutral
a decoder,false,0,0,1,neutral
decoder come,false,0,0,1,neutral
come in,false,0,0,1,neutral
in addition,false,0,0,1,neutral
addition to,false,0,0,1,neutral
to home,false,0,0,1,neutral
home banking,false,0,0,1,neutral
home shopping,false,0,0,1,neutral
shopping and,false,0,0,1,neutral
and other,false,0,0,1,neutral
other interactive,false,0,0,1,neutral
interactive services,false,0,0,1,neutral
the services,false,0,1,0,neutral
services will,false,0,1,0,neutral
will be,false,0,1,0,neutral
be offered,false,0,1,0,neutral
offered when,false,0,1,0,neutral
when bskyb,false,0,1,0,neutral
