1  gave  Synset('yield.v.01')
1  its  Synset('information_technology.n.01')
1  tentative  Synset('probationary.s.01')
1  approval  Synset('blessing.n.01')
2  will  Synset('will.n.03')
2  make  Synset('make.v.08')
2  a  Synset('deoxyadenosine_monophosphate.n.01')
2  final  Synset('final.s.02')
2  ruling  Synset('rule.v.04')
3  AM  Synset('master_of_arts.n.01')
3  airlines  Synset('airline.n.02')
4  Am  Synset('master_of_arts.n.01')
4  executive  Synset('executive.n.02')
4  Martin  Synset('martin.n.05')
4  Shugrue  None
5  bought  Synset('buy.v.05')
5  the  None
5  Pan  Synset('pan.v.02')
6  planned  Synset('planned.a.01')
6  to  None
6  start  Synset('begin.v.03')
6  operations  Synset('operations.n.01')
6  this  None
6  summer  Synset('summer.n.01')
6  with  None
6  three  Synset('trey.n.02')
6  planes  Synset('plane.v.03')
7  bought  Synset('bribe.v.01')
7  the  None
7  Pan  Synset('pan.v.02')
7  Am  Synset('master_of_arts.n.01')
7  name  Synset('name.v.03')
7  and  None
7  its  Synset('information_technology.n.01')
7  familiar  Synset('familiar.n.03')
7  blue  Synset('blue.s.02')
7  globe  Synset('globe.n.03')
7  logo  Synset('logo.n.01')
7  in  Synset('indium.n.01')
7  1993  None
7  with  None
7  former  Synset('former.a.01')
7  executive  Synset('executive.n.01')
7  Martin  Synset('martin.n.05')
7  Shugrue  None
7  announced  Synset('announce.v.03')
7  plans  Synset('plan.v.01')
7  to  None
7  restart  Synset('resume.v.01')
7  carrier  Synset('carrier.n.04')
7  as  Synset('deoxyadenosine_monophosphate.n.01')
7  a  Synset('deoxyadenosine_monophosphate.n.01')
7  small  Synset('small.r.01')
7  domestic  Synset('domestic.n.01')
7  airline  Synset('airline.n.02')
8  Am  Synset('master_of_arts.n.01')
8  name  Synset('name.v.03')
8  and  None
8  its  Synset('information_technology.n.01')
8  familiar  Synset('familiar.n.03')
8  blue  Synset('blue.s.02')
8  globe  Synset('globe.n.03')
8  logo  Synset('logo.n.01')
8  in  Synset('indium.n.01')
8  1993  None
8  with  None
8  former  Synset('former.a.01')
8  Pan  Synset('pan.v.02')
8  executive  Synset('executive.n.01')
8  Martin  Synset('martin.n.05')
8  Shugrue  None
8  announced  Synset('announce.v.03')
8  plans  Synset('plan.v.01')
8  to  None
8  restart  Synset('resume.v.01')
8  the  None
8  carrier  Synset('carrier.n.04')
8  as  Synset('deoxyadenosine_monophosphate.n.01')
8  a  Synset('deoxyadenosine_monophosphate.n.01')
8  small  Synset('small.r.01')
8  domestic  Synset('domestic.n.01')
8  airline  Synset('airline.n.02')
9  Am  Synset('embody.v.02')
9  executive  Synset('executive.n.01')
9  Martin  Synset('martin.n.01')
9  Shugrue  None
9  announced  Synset('announce.v.03')
9  plans  Synset('plan.v.01')
9  to  None
9  restart  Synset('resume.v.01')
9  the  None
9  carrier  Synset('carrier.n.11')
9  as  Synset('equally.r.01')
9  a  Synset('deoxyadenosine_monophosphate.n.01')
9  small  Synset('small.r.01')
9  domestic  Synset('domestic.n.01')
9  airline  Synset('airline.n.02')
10  announced  Synset('announce.v.03')
10  plans  Synset('plan.v.01')
10  to  None
10  restart  Synset('resume.v.01')
10  the  None
10  carrier  Synset('carrier.n.11')
10  as  Synset('equally.r.01')
10  a  Synset('deoxyadenosine_monophosphate.n.01')
10  small  Synset('small.r.01')
10  domestic  Synset('domestic.n.01')
10  airline  Synset('airline.n.02')
11  planned  Synset('plan.v.01')
11  to  None
11  start  Synset('begin.v.03')
11  operations  Synset('operations.n.01')
11  this  None
11  summer  Synset('summer.n.01')
11  with  None
11  three  Synset('trey.n.02')
11  planes  Synset('plan.v.01')
11  flying  Synset('vanish.v.05')
11  routes  Synset('route.v.01')
11  between  Synset('between.r.02')
11  Miami  Synset('miami.n.02')
11  ,  None
11  New  Synset('fresh.s.04')
11  York  Synset('york.n.01')
11  Chicago  Synset('michigan.n.03')
11  Los  None
11  Angeles  None
11  and  None
11  San  None
11  Francisco  None
