1  buys  Synset('buy.v.05')
1  Argentine  Synset('argentine.n.01')
1  exhaust  Synset('run_down.v.06')
1  maker  Synset('manufacturer.n.01')
2  did  Synset('do.v.11')
2  not  Synset('not.r.01')
2  elaborate  Synset('elaborate.v.04')
2  on  Synset('on.r.03')
2  terms  Synset('terminus.n.03')
3  described  Synset('identify.v.05')
3  as  Synset('arsenic.n.02')
3  Argentina  Synset('argentina.n.02')
3  's  None
4  was  Synset('be.v.05')
4  the  None
4  first  Synset('first_base.n.02')
4  time  Synset('time.v.05')
5  had  Synset('take.v.35')
5  entered  Synset('record.v.01')
5  the  None
5  South  Synset('south.n.05')
5  American  Synset('american.n.03')
5  market  Synset('market.v.03')
6  operates  Synset('manoeuver.v.03')
6  in  Synset('indium.n.01')
6  Brazil  Synset('brazil.n.01')
6  through  Synset('through.r.04')
6  its  Synset('information_technology.n.01')
6  Monroe  Synset('monroe.n.04')
6  ride  Synset('ride.v.12')
6  control  Synset('restraint.n.02')
6  division  Synset('division.n.04')
7  had  Synset('take.v.35')
7  also  Synset('besides.r.02')
7  begun  Synset('get_down.v.07')
7  exhaust  Synset('run_down.v.06')
7  manufacturing  Synset('manufacture.v.04')
8  do  Synset('suffice.v.01')
8  Brasil  Synset('brazil.n.01')
8  ride  Synset('ride.v.12')
8  control  Synset('see.v.10')
8  facility  Synset('facility.n.05')
9  expected  Synset('expected.a.01')
9  to  None
9  achieve  Synset('achieve.v.01')
9  200  Synset('two_hundred.s.01')
9  percent  Synset('percentage.n.01')
9  growth  Synset('growth.n.02')
10  will  Synset('will.n.03')
10  operate  Synset('operate_on.v.01')
10  under  Synset('under.r.06')
10  the  None
10  Walker  Synset('walker.n.05')
10  Argentina  Synset('argentina.n.02')
10  name  Synset('name.v.02')
11  added  Synset('total.v.02')
12  did  Synset('practice.v.01')
12  not  Synset('not.r.01')
12  elaborate  Synset('elaborate.v.01')
12  on  Synset('on.r.03')
12  terms  Synset('terminus.n.03')
12  of  None
12  the  None
12  acquisition  Synset('learning.n.01')
12  company  Synset('ship's_company.n.01')
12  ,  None
12  which  None
12  it  Synset('information_technology.n.01')
12  described  Synset('trace.v.02')
12  as  Synset('american_samoa.n.01')
12  Argentina  Synset('argentina.n.02')
12  's  None
12  second-largest  None
12  exhaust  Synset('exhaust.n.02')
12  manufacturer  Synset('manufacturer.n.02')
13  said  Synset('aforesaid.s.01')
13  it  Synset('information_technology.n.01')
13  was  Synset('be.v.05')
13  the  None
13  first  Synset('first_base.n.02')
13  time  Synset('time.v.05')
13  that  None
13  its  Synset('information_technology.n.01')
13  Walker  Synset('walker.n.01')
13  Manufacturing  Synset('fabrication.n.03')
13  unit  Synset('whole.n.02')
13  had  Synset('take.v.35')
13  entered  Synset('record.v.01')
13  South  Synset('south.n.03')
13  American  Synset('american.n.03')
13  market  Synset('market.v.03')
14  was  Synset('be.v.05')
14  the  None
14  first  Synset('first_base.n.02')
14  time  Synset('time.v.05')
14  that  None
14  its  Synset('information_technology.n.01')
14  Walker  Synset('walker.n.01')
14  Manufacturing  Synset('fabrication.n.03')
14  unit  Synset('whole.n.02')
14  had  Synset('take.v.35')
14  entered  Synset('record.v.01')
14  South  Synset('south.n.03')
14  American  Synset('american.n.03')
14  market  Synset('market.v.03')
15  operates  Synset('manoeuver.v.03')
15  in  Synset('indium.n.01')
15  Brazil  Synset('brazil.n.01')
15  through  Synset('through.r.04')
15  its  Synset('information_technology.n.01')
15  Monroe  Synset('monroe.n.04')
15  ride  Synset('ride.v.12')
15  control  Synset('restraint.n.02')
15  division  Synset('division.n.04')
16  said  Synset('order.v.01')
16  Minuzzi  None
16  ,  None
16  which  None
16  provides  Synset('leave.v.06')
16  exhaust  Synset('exhaust.n.02')
16  products  Synset('merchandise.n.01')
16  for  None
16  Volkswagen  None
16  Daimler-Benz  None
16  AG  Synset('silver.n.01')
16  and  None
16  General  Synset('general.s.03')
16  Motors  Synset('motor.n.01')
16  Corp.  None
16  would  None
16  provide  Synset('leave.v.06')
16  just-in-time  None
16  to  None
16  Ford  Synset('ford.n.05')
16  Motor  Synset('motor.n.01')
16  Co.  None
16  its  Synset('information_technology.n.01')
16  1997  None
16  Escort  Synset('escort.n.03')
17  would  None
17  provide  Synset('leave.v.06')
17  just-in-time  None
17  products  Synset('merchandise.n.01')
17  to  None
17  Ford  Synset('ford.n.03')
17  Motor  Synset('motive.s.01')
17  Co.  None
17  for  None
17  its  Synset('information_technology.n.01')
17  1997  None
17  Escort  Synset('escort.n.03')
18  said  Synset('state.v.01')
18  it  Synset('information_technology.n.01')
18  had  Synset('induce.v.02')
18  also  Synset('besides.r.02')
18  begun  Synset('get_down.v.07')
18  exhaust  Synset('run_down.v.06')
18  manufacturing  Synset('manufacture.v.04')
18  at  Synset('at.n.02')
18  its  Synset('information_technology.n.01')
18  Monroe  Synset('monroe.n.04')
18  do  Synset('suffice.v.01')
18  Brasil  Synset('brazil.n.01')
18  ride  Synset('ride.v.12')
18  control  Synset('see.v.10')
18  facility  Synset('facility.n.05')
18  in  Synset('indium.n.01')
18  Mogi  None
18  Mirim  None
18  ,  None
18  Brazil  Synset('brazil.n.01')
19  had  Synset('induce.v.02')
19  also  Synset('besides.r.02')
19  begun  Synset('get_down.v.07')
19  exhaust  Synset('run_down.v.06')
19  manufacturing  Synset('manufacture.v.04')
19  at  Synset('at.n.02')
19  its  Synset('information_technology.n.01')
19  Monroe  Synset('monroe.n.04')
19  do  Synset('suffice.v.01')
19  Brasil  Synset('brazil.n.01')
19  ride  Synset('ride.v.12')
