Ngrams,Class
ended almost unchanged,neutral
should be stable,neutral
rally stalls after,neutral
stalls after hitting,neutral
after hitting month,neutral
paves the way,neutral
the way for,neutral
way for the,neutral
set to acquire,neutral
joins other pop,neutral
other pop culture,neutral
pop culture companies,neutral
ended little changed,neutral
offer internet access,neutral
keep interest rates,neutral
interest rates steady,neutral
credits  aimed,neutral
ought to at,neutral
to at least,neutral
at least match,neutral
holding u s,neutral
s  interest,neutral
interest rates steady,neutral
keep rates steady,neutral
plans to open,neutral
ended up in,neutral
up in slow,neutral
in slow trading,neutral
gave its tentative,neutral
its tentative approval,neutral
a holding pattern,neutral
keep a rein,neutral
achieve break even,neutral
break even point,neutral
approved a merger,neutral
closed mixed against,mixed
mixed against major,mixed
against major currencies,mixed
the breadth of,positive
breadth of the,positive
of the increase,positive
little slowing seen,positive
staged a broad,positive
a broad based,positive
broad based surge,positive
headed into the,positive
into the second,positive
the second half,positive
second half of,positive
half of the,positive
of the year,positive
the year on,positive
year on a,positive
on a much,positive
a much stronger,positive
third record close,positive
after overcoming jitters,positive
overcoming jitters from,positive
jitters from unexpectedly,positive
from unexpectedly strong,positive
unexpectedly strong u,positive
strong u s,positive
s  sales,positive
powered to a,positive
to a new,positive
a new peak,positive
orders up strongly,positive
posted broad based,positive
broad based gains,positive
led by a,positive
by a jump,positive
a jump in,positive
much more robust,positive
more robust increase,positive
second big increase,positive
rebound from the,positive
from the year,positive
the year s,positive
year s low,positive
s low to,positive
low to its,positive
gains on talk,positive
on talk of,positive
talk of internet,positive
of internet via,positive
internet via tv,positive
beating the previous,positive
the previous trading,positive
opens up at,positive
up at new,positive
at new trading,positive
new trading peak,positive
advanced to a,positive
to a new,positive
a new peak,positive
press ahead with,positive
ahead with strike,positive
run to the,positive
to the safety,positive
the safety of,positive
safety of companies,positive
of companies with,positive
companies with proven,positive
came within a,positive
within a skip,positive
a skip and,positive
skip and a,positive
and a jump,positive
a jump of,positive
jump of its,positive
of its all,positive
slipped on profit,positive
on profit taking,positive
propped up by,positive
up by rising,positive
by rising demand,positive
rising demand for,positive
setting record highs,positive
a rise of,positive
of  points,positive
stronger than expected,positive
than expected u,positive
expected u s,positive
s  data,positive
shows the level,positive
the level of,positive
level of confidence,positive
close to its,positive
to its highest,positive
its highest level,positive
setting record highs,positive
all reaching new,positive
reaching new highs,positive
ruled in favor,positive
improve the quality,positive
perfect lightening rod,positive
rose  percent,positive
reach hamlet cup,positive
hamlet cup finals,positive
clocked a best,positive
a best time,positive
best time of,positive
time of one,positive
of one minute,positive
minute  seconds,positive
advanced to the,positive
to the semifinals,positive
good match for,positive
match for me,positive
for me and,positive
me and a,positive
and a good,positive
scoring the biggest,positive
the biggest victory,positive
giving them a,positive
them a lead,positive
could go top,positive
thrust essex on,positive
essex on course,positive
on course for,positive
went past his,positive
past his previous,positive
his previous test,positive
keeps pakistan on,positive
pakistan on top,positive
looks well capable,positive
win gave the,positive
gave the all,positive
the all blacks,positive
all blacks an,positive
knocking three days,positive
three days off,positive
greatest accomplishment in,positive
accomplishment in sailing,positive
great personal satisfaction,positive
opens at top,positive
at top of,positive
top of box,positive
overcame some of,positive
some of the,positive
of the worst,positive
the worst reviews,positive
worst reviews of,positive
reviews of the,positive
open at the,positive
at the top,positive
the top of,positive
top of the,positive
of the u,positive
the u s,positive
s  box,positive
opportunity to respond,positive
to respond positively,positive
hopeful that there,positive
that there would,positive
there would be,positive
would be a,positive
be a speedy,positive
a speedy resolution,positive
speedy resolution to,positive
resolution to any,positive
will come as,positive
come as a,positive
as a relief,positive
voted  percent,positive
percent in favor,positive
forecast stability or,positive
stability or gains,positive
closed slightly higher,positive
right to this,positive
to this money,positive
slightly better than,positive
better than an,positive
than an estimate,positive
an estimate in,positive
there will be,positive
will be concrete,positive
be concrete progress,positive
clawing back most,positive
back most of,positive
most of the,positive
of the day,positive
the day s,positive
followed a string,positive
a string of,positive
string of records,positive
of records last,positive
culminating in friday,positive
in friday s,positive
friday s trading,positive
s trading high,positive
showing the necessary,positive
the necessary political,positive
necessary political will,positive
political will to,positive
having already made,positive
already made considerable,positive
made considerable progress,positive
considerable progress on,positive
progress on paring,positive
clear determination on,positive
determination on behalf,positive
on behalf of,positive
behalf of governments,positive
of governments to,positive
very strong recovery,positive
better than the,positive
than the same,positive
the same period,positive
same period a,positive
period a year,positive
a year ago,positive
year ago both,positive
ago both in,positive
both in japan,positive
a gradual recovery,positive
gradual recovery trend,positive
than  percent,positive
percent of its,positive
of its worldwide,positive
its worldwide membership,positive
worldwide membership had,positive
membership had accepted,positive
had accepted the,positive
accepted the offer,positive
up from the,positive
the  percent,positive
percent acceptance level,positive
well placed to,positive
placed to win,positive
to win high,positive
need to strengthen,positive
pushed prices higher,positive
hit a string,positive
a string of,positive
string of records,positive
wowed canada with,positive
canada with his,positive
with his record,positive
his record smashing,positive
setting a new,positive
a new record,positive
confirmed them as,positive
them as rightful,positive
as rightful owners,positive
great strategic importance,positive
gave a boost,positive
move underscores apple,positive
underscores apple s,positive
apple s commitment,positive
s commitment to,positive
commitment to developing,positive
to developing internet,positive
developing internet technologies,positive
internet technologies and,positive
technologies and extends,positive
and extends the,positive
extends the relationship,positive
the relationship between,positive
relationship between the,positive
between the two,positive
the two companies,positive
two companies at,positive
companies at a,positive
at a time,positive
a time when,positive
time when they,positive
provide a hassle,positive
a hassle free,positive
hassle free experience,positive
free experience and,positive
experience and comprehensive,positive
and comprehensive customer,positive
highest futures price,positive
closed  higher,positive
four month highs,positive
post solid q,positive
q  profits,positive
justifying recent gains,positive
recent gains in,positive
gains in their,positive
in their stock,positive
reported a profit,positive
will be enough,positive
be enough to,positive
enough to declare,positive
to declare the,positive
declare the plan,positive
support grows for,positive
grows for lloyd,positive
for lloyd s,positive
lift german stocks,positive
german stocks to,positive
stocks to higher,positive
ended the day,positive
the day on,positive
day on tuesday,positive
volumes higher than,positive
higher than monday,positive
than monday s,positive
monday s year,positive
chemical shares drove,positive
shares drove afternoon,positive
drove afternoon ibis,positive
reported an eight,positive
an eight percent,positive
eight percent increase,positive
rose a healthy,positive
healthy  percent,positive
forecast higher profits,positive
great growth potential,positive
growth potential and,positive
potential and will,positive
and will obtain,positive
will obtain a,positive
obtain a better,positive
increased  percent,positive
sees higher profits,positive
more than doubled,positive
would be clearly,positive
be clearly higher,positive
surge in profits,positive
increase in profits,positive
profitability improved in,positive
improved in all,positive
in all areas,positive
all areas of,positive
areas of the,positive
of the group,positive
sees  new,positive
